Type,ID,Birth time (milsec),Death time (milsec),Time lived (milsec),Updates / Frames lived,Health,Max health,Health ratio,Energy,Max energy,Energy ratio,Total Energy gained,Tiles traveled,Attack power,Organisms attacked,Animals killed,Plants killed,Parent Id,Number of Offsprings,Color red value,Color green value,Color blue value
Animal,10989,118372,134589,16217,300,-4.12,100,-0.04,56,100,0.56,1415.6,38,12.73,0,0,1,,1,155,156,116
Animal,11316,129755,136782,7027,132,-3.68,100,-0.04,36,100,0.36,640.7,28,19.53,0,0,1,,0,154,179,126
Animal,10313,67100,137141,70041,1363,-2.09,100,-0.02,0,100,0.0,5925.21,197,12.06,0,0,3,,1,123,188,87
Animal,10313,67100,137141,70041,1363,-6.09,100,-0.06,0,100,0.0,5925.21,198,12.06,0,0,3,,1,123,188,87
Animal,10763,107343,137260,29917,586,-2.07,100,-0.02,0,100,0.0,2604.1,117,14.73,0,0,7,,1,110,147,79
Animal,11284,128852,137499,8647,172,-3.5,100,-0.04,0,100,0.0,722.25,54,12.54,0,0,6,,0,115,153,99
Animal,10945,116262,137501,21239,416,-0.81,100,-0.01,0,100,0.0,1788.58,84,13.0,0,0,4,,0,108,144,72
Animal,11474,134359,137561,3202,72,-2.49,100,-0.02,0,100,0.0,273.76,33,13.69,0,0,1,,0,93,137,68
Animal,11474,134359,137561,3202,72,-6.49,100,-0.06,0,100,0.0,273.76,34,13.69,0,0,1,,0,93,137,68
Animal,10488,86966,137739,50773,960,-2.66,100,-0.03,0,100,0.0,4228.58,135,13.08,0,0,2,,1,92,155,111
Animal,10890,114019,137919,23900,464,-1.41,100,-0.01,0,100,0.0,2147.29,88,12.9,0,0,3,,3,93,169,70
Animal,10483,86652,137920,51268,971,-0.05,100,-0.0,0,100,0.0,4186.24,129,11.13,0,0,1,,1,131,163,65
Animal,11497,134951,137982,3031,76,-3.84,100,-0.04,0,100,0.0,306.74,39,14.2,0,0,8,,0,93,151,133
Animal,11497,134951,137982,3031,76,-7.84,100,-0.08,0,100,0.0,306.74,40,14.2,0,0,8,,0,93,151,133
Animal,10820,110993,138341,27348,524,-0.09,100,-0.0,0,100,0.0,2243.84,77,13.75,0,0,1,,0,87,165,96
Animal,11467,134175,138400,4225,91,-5.69,100,-0.06,0,100,0.0,393.15,42,12.93,0,0,4,,0,128,140,155
Animal,10414,78833,138638,59805,1151,-1.42,100,-0.01,0,100,0.0,5067.01,159,12.42,0,0,1,,3,106,175,77
Animal,11450,133767,138939,5172,109,-3.3,100,-0.03,0,100,0.0,493.75,50,12.86,0,0,4,,0,108,133,103
Animal,11450,133767,138939,5172,109,-7.3,100,-0.07,0,100,0.0,493.75,51,12.86,0,0,4,,0,108,133,103
Animal,10848,112434,139122,26688,521,-10.4,100,-0.1,0,100,0.0,2338.02,105,16.33,0,0,5,,1,116,168,112
